Symbol ,Company Name,Industry,Market Cap
ADXN,Addex Therapeutics Ltd,Biotechnology,8.43M
AE,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,67.50M
AEAE,AltEnergy Acquisition Corp.,Shell Companies,72.08M
AEE,Ameren Corporation,Utilities - Regulated Electric,22.84B
AEG,Aegon Ltd.,Insurance - Diversified,10.15B
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,11.90M
AEHR,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,364.18M
AEI,Alset Inc.,Real Estate - Development,11.36M
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,3.83B
AEM,Agnico Eagle Mines Limited,Gold,41.56B
AEMD,"Aethlon Medical, Inc.",Medical Devices,4.99M
AENT,Alliance Entertainment Holding Corporation,Entertainment,139.06M
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,3.91B
AEON,"AEON Biopharma, Inc.",Biotechnology,27.23M
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,54.36B
AER,AerCap Holdings N.V.,Rental & Leasing Services,18.45B
AERT,"Aeries Technology, Inc",Consulting Services,101.88M
AES,The AES Corporation,Utilities - Diversified,13.44B
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,2.49B
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,171.14M
AEYE,"AudioEye, Inc.",Software - Application,300.54M
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,67.53M
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,140.11M
AFCG,"AFC Gamma, Inc.",REIT - Specialty,221.14M
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,11.38B
AFJK,"Aimei Health Technology Co., Ltd",Shell Companies,94.59M
AFL,Aflac Incorporated,Insurance - Life,60.44B
AFMD,Affimed N.V.,Biotechnology,57.86M
AFRI,Forafric Global PLC,Farm Products,305.89M
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,13.98B
AFYA,Afya Limited,Education & Training Services,1.48B
AG,First Majestic Silver Corp.,Silver,1.86B
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,57.28M
AGBA,AGBA Group Holding Limited,Asset Management,152.17M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,7.07B
AGEN,Agenus Inc.,Biotechnology,125.98M
AGFY,Agrify Corporation,Farm & Heavy Construction Machinery,5.05M
AGI,Alamos Gold Inc.,Gold,8.72B
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,2.65B
AGL,"agilon health, inc.",Medical Care Facilities,1.45B
AGM,Federal Agricultural Mortgage Corporation,Credit Services,2.00B
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,1.96B
AGMH,AGM Group Holdings Inc.,Computer Hardware,37.35M
AGNC,AGNC Investment Corp.,REIT - Mortgage,8.21B
AGO,Assured Guaranty Ltd.,Insurance - Specialty,4.27B
AGR,"Avangrid, Inc.",Utilities - Regulated Electric,13.84B
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,5.16M
AGRO,Adecoagro S.A.,Farm Products,1.17B
AGS,"PlayAGS, Inc.",Gambling,454.69M
AGX,"Argan, Inc.",Engineering & Construction,1.29B
AGYS,"Agilysys, Inc.",Software - Application,2.88B
AHCO,AdaptHealth Corp.,Medical Devices,1.47B
AHG,Akso Health Group,Medical Distribution,178.14M
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,807.69M
AHR,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,3.86B
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,45.52M
AI,"C3.ai, Inc.",Software - Application,2.95B
AIEV,"Thunder Power Holdings, Inc.",Shell Companies,37.55M
AIFF,"Firefly Neuroscience, Inc.",Information Technology Services,33.06M
AIG,"American International Group, Inc.",Insurance - Diversified,47.50B
AIHS,Senmiao Technology Limited,Credit Services,11.99M
AILE,"iLearningEngines, Inc.",Software - Infrastructure,248.46M
AIM,AIM ImmunoTech Inc.,Biotechnology,15.27M
AIMAU,Aimfinity Investment Corp. I,Shell Companies,65.50M
AIMD,"Ainos, Inc.",Medical Devices,3.74M
AIN,Albany International Corp.,Textile Manufacturing,2.72B
AIOT,"PowerFleet, Inc.",Software - Infrastructure,533.31M
AIP,"Arteris, Inc.",Semiconductors,292.47M
AIR,AAR Corp.,Aerospace & Defense,2.44B
AIRE,reAlpha Tech Corp.,Real Estate Services,57.62M
AIRG,"Airgain, Inc.",Communication Equipment,81.37M
AIRI,Air Industries Group,Aerospace & Defense,18.89M
AIRJ,Montana Technologies Corporation,Building Products & Equipment,327.40M
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,305.81M
AIRT,"Air T, Inc.",Conglomerates,47.61M
AISP,"Airship AI Holdings, Inc.",Software - Infrastructure,66.01M
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,8.41B
AITR,AI Transportation Acquisition Corp,Shell Companies,82.14M
AIV,Apartment Investment and Management Company,REIT - Residential,1.31B
AIXI,Xiao-I Corporation,Software - Application,29.12M
AIZ,"Assurant, Inc.",Insurance - Property & Casualty,10.06B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,60.49B
AJX,Great Ajax Corp.,REIT - Mortgage,155.52M
AKA,a.k.a. Brands Holding Corp.,Apparel Retail,263.20M
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,15.08B
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,2.24M
AKBA,"Akebia Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,288.09M
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.60B
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.60B
AKR,Acadia Realty Trust,REIT - Retail,2.39B
AKRO,"Akero Therapeutics, Inc.",Biotechnology,1.95B
AKTS,"Akoustis Technologies, Inc.",Communication Equipment,7.53M
AKTX,"Akari Therapeutics, Plc",Biotechnology,38.49M
AKYA,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,142.56M
AL,Air Lease Corporation,Rental & Leasing Services,5.10B
ALAB,"Astera Labs, Inc.",Semiconductors,7.91B
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,81.68M
